Ulasan_Mentah;processed_text;hasil_validator
Pelayanan mas tama oke penjelasan ringkas.. Terimakasih tiga putra;layan mas tama oke jelas ringkas terimakasih tiga putra;neutral
Good banget, pelayanan dari promotor nya;good banget layan dari promotor nya;neutral
Layanan cepat dan ramah;layan cepat dan ramah;positive
Tempat Bagus, Pelayanan Ramah. Tetimakasih Tiga Putra;tempat bagus layan ramah tetimakasih tiga putra;neutral
Pelayanannya ramah, totalitas dan santun dapat parcel lg untuk pembelian di bulan Romadhon gas kan guys ke 3 Putra;pelayananya ramah totalitas dan santun dapat parcel lagi untuk beli di bulan romadhon gas kan guys ke putra;neutral
Pelayanan nya bagus , rekomen buat yg cari hp harga dijamin termurrahh ✨✨;layan nya bagus rekomen buat yang cari hp harga jamin murah;neutral
Tiga putra menarik;tiga putra tarik;neutral
Di layani sama mbk sbil cantek;di layan sama mbak sbil cantek;neutral
pelayanan top markotop, jelas banget penjelasannyaa, terus dapet parcel jugaa karna promo ramadhan. Sukses selalu tiga putra kawi dan mbak masnyaa;layan top markotop jelas banget penjelasanyaa terus dapat parcel juga karena promo ramadhan sukses selalu tiga putra kawi dan mbak masnyaa;neutral
Pelayanan mbak Rima selalu baik, ramah, gercep, murah, istimewa, langganan disini;layan mbak rima selalu baik ramah gercep murah istimewa langanan sini;neutral
Hari ini sebenernya mau beli HP ke toko ini, di rumah liat rating toko banyak yg bintang 1, kasir judes, cari toko lain aja. Wkwkw;hari ini benar mau beli hp ke toko ini di rumah lihat rating toko banyak yang bintang kasir judes cari toko lain saja wkwkw;negative
Gak niat ngadain doorprize buat konsumen. Mending beli online aja banyak promo.;enggak niat ada doorprize buat konsumen mending beli online saja banyak promo;negative
Responsif, dan pelayanannya sangat baik;responsif dan pelayananya sangat baik;positive
Terimakasih banyak, Mas Agung, wes sabar njelasno kanan kiri ke sy yg bingung cari hp, soalnya pilihanya lengkap dan bersaing. Wes pokoknya jempol rekomended wes... Thanks 3 putra. Sudah dapat gift juga n undian... Mudah2an dapat. Amin2;terimakasih banyak mas agung wes sabar njelasno kanan kiri ke saya yang bingung cari hp soal pilihanya lengkap dan saing wes pokok jempol rekomended wes thanks putra sudah dapat gift juga undi mudah an dapat amin;positive
Seller responsif dan cepat;seler responsif dan cepat;positive
Beli unit samsung ditiga putra kawi kebetulan yang melayani mas udin, ramah banget informatif dan super helpfull parah. Unitnya juga bagus semoga awet.;beli unit samsung tiga putra kawi betul yang layan mas udin ramah banget informatif dan super helpful parah unit juga bagus moga awet;positive
Karena workshop oppo Reno 13 hari ini jadi kepincut pengen PO;karena workshop opo reno hari ini jadi kepincut pengin po;neutral
Puas sekali;puas sekali;positive
Pelayanan bagus dan acaranya menarik;layan bagus dan acara tarik;positive
Keren dan rame pelayanan cepat;keren dan rame layan cepat;positive
Pelayanan ramah, tempat nyaman;layan ramah tempat nyaman;positive
Sangat senang dengan pelayanannya;sangat senang dengan pelayananya;neutral
Mohon maaf tapi emang harus ⭐1, di tanya di DM IG boleh atau ga beli di Shopee tapi ambil di toko balesannya gak boleh, di tanya di official tokonya juga di Shopee gak boleh juga, lumayan padahal voucher diskon saya, eh begitu beli di toko, ada yg beli lewat Shopee, hpnya diambil sendiri, notanya doang dikirim sama kurir, kocaaakkkkkk;mohon maaf tapi memang harus di tanya di dm ig boleh atau enggak beli di shopee tapi ambil di toko balesanya enggak boleh di tanya di oficial toko juga di shopee enggak boleh juga lumayan padahal voucher diskon saya eh begitu beli di toko ada yang beli lewat shopee hpnya ambil sendiri nota doang kirim sama kurir kocak;negative
Gae mas² sing lemu rambut lurus tolong lek ngelayani sing ramah, masio mek takon² tok. Jalok brosur Xiaomi jare gaonok, barang diterno Nang display hpne lakok onok. Iyo lek ganteng ngono, wes gak ganteng gak ramah neh. Minimal ados sek mas.;gae mas sing lemu rambut lurus tolong lek ngelayani sing ramah masih mek takon tok jalok brosur xiaomi jare gaonok barang diterno nang display hpne lakok onok iyo lek ganteng ngono wes enggak ganteng enggak ramah nih minimal ados sek mas;neutral
Pelayananny cukup ramah dan baik Dsaat kita mau lihat2 aja, kita ga terlalu digangguin jadi lebih puas buat cek2. Ga langsung beli tapi minta kontak buat lebih lanjut tanya via WA juga dilayani dengan baik So far aftersalesny juga bagus.;pelayanany cukup ramah dan baik dsaat kita mau lihat saja kita enggak terlalu diganguin jadi lebih puas buat cek enggak langsung beli tapi minta kontak buat lebih lanjut tanya via wa juga layan dengan baik sok far aftersalesny juga bagus;positive
Malam ini saya belanja di Tiga putra kawi proses nya aman dan enjoy aja sih cuma di bagian pembayaran mbak² kasir nya (name tag aura) kurang menghargai customer saya menanyakan perihal pembelian dijawab dengan ketus dan judes mohon perbaiki attitude kasir nya saya belanja jadi ga nyaman tolong hargai saya juga beli pakai uang yang tadinya happy jadi kaya gini;malam ini saya belanja di tiga putra kawi proses nya aman dan enjoy saja sih cuma di bagi bayar mbak kasir nya name tag aura kurang harga customer saya tanya perihal beli jawab dengan ketus dan judes mohon baik atitude kasir nya saya belanja jadi enggak nyaman tolong harga saya juga beli pakai uang yang tadi hapy jadi kayak begini;negative
kasirnya kurang enak, buat ganyaman , mana judess. tolong diperbaiki lagi buat yang dikasir;kasir kurang enak buat ganyaman mana judes tolong baik lagi buat yang kasir;negative
Belanja di tiga putra menyenangkan. Di dampingi oleh m. ALFA baik, ramah, dan sangat sangat membantu.;belanja di tiga putra senang di damping oleh sama alfa baik ramah dan sangat sangat bantu;positive
Baru saja ngalamin transaksi di tiga putra kawi, tidak tahu kenapa yg awalnya lancar, baik2 saja dan sudah transaksi di lewat shopee, sempat nunggu lama. Tiba2 pegawainya bilang barang yg saya beli tidak tersedia, dan hanya sisa display .. padahal sebelumnya sempat tanya katanya tidak ada display aneh sih ini, bener2 jadi tanda tanya besar. Dan setelah saya cek lagi barang tersebut masih ada di shopee.;baru saja ngalamin transaksi di tiga putra kawi tidak tahu kenapa yang awal lancar baik saja dan sudah transaksi di lewat shopee sempat nungu lama tiba pegawai bilang barang yang saya beli tidak sedia dan hanya sisa display padahal belum sempat tanya kata tidak ada display aneh sih ini benar jadi tanda tanya besar dan telah saya cek lagi barang sebut masih ada di shopee;negative
pas minggu ke toko kawi, lagi berdiri dekat kasir, kasirnya ditanyaain sama mbak mbak disampingnya, kasirnya malah JUDES banget jawabnya. meski ngobrol sama sesama karyawan, kesannya kurang baik aja kalo di depan customer. dan posisi di depannya ada gojek lagi antri mau ambil barang. attitude mbak kasirnya tolong di perbaiki lagi;pas mingu ke toko kawi lagi diri dekat kasir kasir ditanyaain sama mbak mbak samping kasir malah judes banget jawab meski obrol sama sama karyawan kesanya kurang baik saja kalo di depan customer dan posisi di depa ada gojek lagi antri mau ambil barang atitude mbak kasir tolong di baik lagi;negative
Pelayanan, fasilitas, harga, kelengkapan produk yg tersedia, smua membuat tempat ini jd tempat yg recommended bgt utk beli Gadget. Top deh.. Thankyou;layan fasilitas harga lengkap produk yang sedia semua buat tempat ini jadi tempat yang recomended banget untuk beli gadget top deh thankyou;positive
Pelayanan ramah Banyak promo Tempat nyaman , bersih;layan ramah banyak promo tempat nyaman bersih;positive
Pelayanan sangat ramah dan bagus...;layan sangat ramah dan bagus;positive
Saya rekomendasikan untuk membeli hp dan gadget di sini. Pelayanan sangat the best dan demo hp dna gadget lain sangat lengkap dan detail. Harga juga bersaing. Personilnya ramah-ramah, humble dan friendly semuanya.;saya rekomendasi untuk beli hp dan gadget di sini layan sangat the best dan demo hp dna gadget lain sangat lengkap dan detail harga juga saing personilnya ramah ramah humble dan friendly semua;positive
Di layani sama sabil cantik;di layan sama sabil cantik;neutral
Mantap sangat fast respon Sales adit oppo;mantap sangat fast respon sales adit opo;neutral
Toko handphone pelayanan terbaik dan memuaskan joss;toko handphone layan baik dan muas jos;neutral
Pelayanan bagus .memuaskan . Cm AC kurang dingin . Harga lumayan;layan bagus muas cuma ac kurang dingin harga lumayan;negative
Rekomended buat beli gawai. Servicenya juga top banget. Td dilayani sama Mba Gayatri, ramah banget orangnya. Kasih penjelasannya juga detail. Bintang Lima pokoknya.;rekomended buat beli gawai servicenya juga top banget tadi layan sama mbak gayatri ramah banget orang kasih jasa juga detail bintang lima pokok;positive
Tiga Putra kawi pelayanan memuaskan , beli nyaman , legah & sangat - sangat puas kwalitas barang di jamin sangat bagus;tiga putra kawi layan muas beli nyaman legah sangat sangat puas kwalitas barang di jamin sangat bagus;positive
Tempatnya bagus,bersih,luas,untuk pelayananya tdk perlu di ragukan lagi mbak riris emang terbaik sih semoga selalu di pertahankan terus untuk kualitas pelayanannya,sukses selalu tiga putra;tempat bagus bersih luas untuk pelayananya tidak perlu di ragu lagi mbak riris memang baik sih moga selalu di tahan terus untuk kualitas pelayananya sukses selalu tiga putra;positive
Harga miring pelayanan mas tama oke, tempatnya juga nyaman .. Terimakasih tigaputra;harga miring layan mas tama oke tempat juga nyaman terimakasih tigaputra;neutral
Pelayanan sales mba ria : Pelayanan dari Mba Ria sangat bagus dan memuaskan;layan sales mbak ria layan dari mbak ria sangat bagus dan muas;positive
Kerenn pelayanannya....;keren pelayananya;neutral
lagi lagi beli hp ke tiga putra krn pelayanannya yg ramah, dilayani sama mas rossi yg baik terima kasih mas rossi.;lagi lagi beli hp ke tiga putra karena pelayananya yang ramah layan sama mas ros yang baik terima kasih mas ros;neutral
Pelayanan nya oke,mas tama juga ramah dan telaten dalam handel cust .. Terimakasih;layan nya oke mas tama juga ramah dan telaten dalam handel cust terimakasih;neutral
Dari dtg sampe aku beli ramah buanget bisa langsung ke bro erifan aja kalau ksni kalian gak bakalan pusing milih dy jelasinnya detil poll tempatnya nyaman adem pelayanan sat set;dari datang sampai aku beli ramah banget bisa langsung ke bro erifan saja kalau kesini kalian enggak bakal pusing pilih dia jelas detil pol tempat nyaman adem layan sat set;neutral
Puas banget . Pelayanan sopan. Harga terjangkau The best;puas banget layan sopan harga jangkau the best;positive
Pelayanan baik dan ramah Informasi yang diberikan mudah dipahami. Dibantu oleh mas Yusril. Terima kasih;layan baik dan ramah informasi yang beri mudah paham bantu oleh mas yusril terima kasih;positive
Store hp yang bagus di kota malang. Tempatnya bagus, bersih, luas, semua brand hp lengkap. Salesnya ramah, baik, telaten. Saya di layani sama mbak avia dan mas zein terimakasih servisnya;store hp yang bagus di kota malang tempat bagus bersih luas semua brand hp lengkap salesnya ramah baik telaten saya di layan sama mbak avia dan mas zein terimakasih servis;positive
Pelayanan ramah datang langsung di bantu sama mbk diajeng diarahkan dengan kalem dan sabar tiga putra the best;layan ramah datang langsung di bantu sama mbak diajeng arah dengan kalem dan sabar tiga putra the best;positive
Lengkap;lengkap;neutral
Pelayanan mbak diajeng very good.. Udah langganan kapan dikasih hadiah ya;layan mbak diajeng very good sudah langanan kapan kasih hadiah ya;neutral
Penanganannya sangat cepat dan ramah makasih ya mbk Gayatri udah bisa membantu pelayanannya dengan sat set;penangananya sangat cepat dan ramah terima kasih ya mbak gayatri sudah bisa bantu pelayananya dengan sat set;positive
Pelayanan bagus dan ramah;layan bagus dan ramah;positive
Kak yajeng Pelayanan ramah dan baik terhadap kastermer;kak yajeng layan ramah dan baik hadap kastermer;positive
Terima kasih tigaputra Pelayanan dari adit oppo;terima kasih tigaputra layan dari adit opo;positive
Banyak promo dan hadiahnya, dan untuk pelayanan nya mas tama oke dan ramah.. Terimakasih tiga putra;banyak promo dan hadiah dan untuk layan nya mas tama oke dan ramah terimakasih tiga putra;positive
Di layanii sama kak sabil mantap;di layanii sama kak sabil mantap;positive
Sangat lengkap, pelayanan nya pun juga ramah;sangat lengkap layan nya pun juga ramah;neutral
Pelayanan ramah cepat Barang nya juga rekomendasi banget;layan ramah cepat barang nya juga rekomendasi banget;positive
Sangat membantu;sangat bantu;neutral
Sangat rekomendasi untuk yang bingung buat beli hp pertama kali bisa disini saya dinotice langsung dengan mas ahmad bisa ditanyakan semuanya tentang spesifikasi dan lain lainya sangat membantu;sangat rekomendasi untuk yang bingung buat beli hp pertama kali bisa sini saya dinotice langsung dengan mas ahmad bisa tanya semua tentang spesifikasi dan lain lai sangat bantu;positive
Pelayanan ramah parkir luas tempat nyaman;layan ramah parkir luas tempat nyaman;positive
Pelayanannya bagus Untuk mas bintang nya ramah;pelayananya bagus untuk mas bintang nya ramah;positive
Pelayanannya bagus banget, kakaknya ramah dan pelayanannya cepat;pelayananya bagus banget kakak ramah dan pelayananya cepat;positive
Pelayanan mantap, tempat juga nyaman;layan mantap tempat juga nyaman;positive
Selalu beli hp baru disini mantap bro;selalu beli hp baru sini mantap bro;neutral
pelayanannya bagus,mbak ramah;pelayananya bagus mbak ramah;neutral
Ramah banget;ramah banget;neutral
Menyala;nyala;neutral
Pelayanannya ramah, bisa nego;pelayananya ramah bisa nego;positive
Pelayanan baik , karyawan baik dan ramah .. tempat nyaman;layan baik karyawan baik dan ramah tempat nyaman;positive
great;great;neutral
Ramah ramah pelayanan bagus;ramah ramah layan bagus;positive
Saya suka pelayanan di Tiga Putra HP dari jaman saya SD karena pelayanan yang memuaskan dan banyak promo yang ditawaran, tempat luas dan banyak cabang suka bangett;saya suka layan di tiga putra hp dari jaman saya sd karena layan yang muas dan banyak promo yang tawar tempat luas dan banyak cabang suka banget;positive
pelayanan nya ramah pilihan barang lengkap;layan nya ramah pilih barang lengkap;positive
Good;good;neutral
Bagus pelayanannya;bagus pelayananya;neutral
sangat baik;sangat baik;neutral
Pelayanan terbaikk;layan baik;positive
Pengalaman yang sangat nggak enak. Waktu hujan deras, saya pinjam payung, tapi satpamnya malah ngelayanin dengan kasar dan nggak ramah sama sekali. Padahal saya cuma butuh bantuan karena lagi hujan deras. Jujur, jadi bikin nggak nyaman banget. Semoga ke depannya pelayanannya bisa lebih baik dan sopan.;alam yang sangat enggak enak waktu hujan deras saya pinjam payung tapi satpam malah ngelayanin dengan kasar dan enggak ramah sama sekali padahal saya cuma butuh bantu karena lagi hujan deras jujur jadi bikin enggak nyaman banget moga ke depa pelayananya bisa lebih baik dan sopan;negative
Customer service is really great! very satisfied. Friendly and helpful.;customer service is realy great very satisfied friendly and helpful;positive
Cukup lengkap, harga bersaing, tp salesnya kurang menguasai produk;cukup lengkap harga saing tapi salesnya kurang kuasa produk;negative
lengkap;lengkap;neutral
Duluuu banget jaman beli hp pertama tuh di Tiga Putra yang di Gajahmada. Akhirnya kembali ke Tiga Putra lagi setelah buka di Kawi yang deketttt buanget sama rumah. Trus ada Grapari nya di lantai 2. Seneng banget kalo butuh ke Grapari gak usah jauh2 lagi. Graparinya yg di sini pelayananannya juga oke (udah pernah saya review). Lokasinya strategis, akses parkir gampang, tempat bersih, nyaman, luas. Pelayanan dari pintu masuk, pembelian, pembayaran, sampe instalasi sangat baik semua. Hari ini saya beli produk pas banget ada promo cashback 300rb. Berlaku sampe tanggal 10 Juli 2024 aja guys. Buruan.;dulu banget jaman beli hp pertama tuh di tiga putra yang di gajahmada akhir kembali ke tiga putra lagi telah buka di kawi yang dekat banget sama rumah terus ada grapari nya di lantai senang banget kalo butuh ke grapari enggak usah jauh lagi graparinya yang di sini pelayanananya juga oke sudah pernah saya review lokasi strategis akses parkir gampang tempat bersih nyaman luas layan dari pintu masuk beli bayar sampai instalasi sangat baik semua hari ini saya beli produk pas banget ada promo cashback ribu laku sampai tangal juli saja guys buru;positive
Pelayanan ramah dan memuaskan . Soal harga ya bawa rupa lah yaa.. So far so good;layan ramah dan muas soal harga ya bawa rupa lah ya sok far sok good;positive
Pelayanan oke bgt,, byk diskon dan paling ibu2 suka bisa nyicil acara lomba byk bgt hadiah langsung gratis lagi pendaftarannya;layan oke banget banyak diskon dan paling ibu suka bisa nyicil acara lomba banyak banget hadiah langsung gratis lagi pendaftaranya;positive
3 putra paling berkualaitas produk sangat baik;putra paling berkualaitas produk sangat baik;positive
lengkap, murah dan terpercaya;lengkap murah dan percaya;positive
Mbak mbak kasir kurang ramah;mbak mbak kasir kurang ramah;negative
Pelayanan yg memuaskan, stok terlengkap;layan yang muas stok lengkap;neutral
Kasir nya tanpa senyum dan urusan pembayaran ribet.;kasir nya tanpa senyum dan urus bayar ribet;negative
Pelayanan sangat ramah ,harga termurah ,;layan sangat ramah harga murah;positive
Pelayanan suip;layan suip;positive
Beli hp dapet hadiah juga;beli hp dapat hadiah juga;positive
Seruu bangett, pelayanan nya juga baguss, ruangan nya sangat baik dan nyaman, nyaman polll saya sangat senang di tiga putra, pelayanan baik baik semua dan ramah semua...;seru banget layan nya juga bagus ruang nya sangat baik dan nyaman nyaman pol saya sangat senang di tiga putra layan baik baik semua dan ramah semua;positive
Mantab, produk lengkap, pilihan varian selali tersedia, pelayanan sangat memuaskan, sales ramah, harga termurah, sudah cari di toko lain, ternyata pilihan termurah tetap di tiga putra, pertahankan, puas bgt belanja di tiga putra;mantab produk lengkap pilih varian lali sedia layan sangat muas sales ramah harga murah sudah cari di toko lain nyata pilih murah tetap di tiga putra tahan puas banget belanja di tiga putra;positive
Tiga putra toko hp Ter the best;tiga putra toko hp ter the best;neutral
Terimakasih atas informasinya;terimakasih atas informasi;neutral
Terima kasih;terima kasih;neutral
Pelayanan bagus sekali;layan bagus sekali;neutral
Tepung terigu dalam kuali, ikat wadahnya gunakan taki, jangan ragu beli hp lagi, hanya di tiga putra kualitas terjamin dan terbukti ❤️❤️❤️;tepung terigu dalam kuali ikat wadah guna taki jangan ragu beli hp lagi hanya di tiga putra kualitas jamin dan bukti;neutral
Tiga putra kawi the best;tiga putra kawi the best;neutral
Tiga putra is the best;tiga putra is the best;neutral
Pelayanannya baik dan ramah;pelayananya baik dan ramah;positive
Pelayanannya bagus;pelayananya bagus;neutral
Top;top;neutral
Tiga putra mantap;tiga putra mantap;neutral
Harga ok pelayanan ok;harga ok layan ok;positive
Tempat nyaman, lokasi strategis. Oke banget beli disini. Pelayanan nyaman.;tempat nyaman lokasi strategis oke banget beli sini layan nyaman;positive
Tiga putra luar biasa;tiga putra luar biasa;neutral
Murah aman terpercaya;murah aman percaya;positive
Pelayanan ok, dan sat set;layan ok dan sat set;positive
Tiga putra terbaik, amanah;tiga putra baik amanah;neutral
Peehh Jan Nyeni om hp e, semangat terus om;peeh jangan nyeni om hp semangat terus om;positive
Pita tiara warna biru Tiga putra semakin maju Terimakasih Tiga Putra Banyak produc nya murah dan bnyak bonus;pita tiara warna biru tiga putra makin maju terimakasih tiga putra banyak produc nya murah dan banyak bonus;positive
Tiga putra kawi memang mantap,pelayan dan banyak pilihannya;tiga putra kawi memang mantap layan dan banyak pilihanya;positive
Saat datang langsung dibantu dan diarahkan. Pegawai sangat ramah dan membantu proses transaksi. Store luas dan nyaman. Tempat parkir juga memadai.;saat datang langsung bantu dan arah pegawai sangat ramah dan bantu proses transaksi store luas dan nyaman tempat parkir juga pada;positive
TIGA PUTRA KAWI kerennnn...hadiah berlimpahhh KETUPAT.. KEJUTAN UNTUNG BERLIPAT;tiga putra kawi keren hadiah limpah ketupat kejut untung lipat;positive
Tiga putra kawi weldone semoga selalu jaya;tiga putra kawi weldone moga selalu jaya;positive
Baru pertama kali ke tiga putra jalan kawi pas puasaan. Pegawai nya ramah dan informatif. Pas nunggu saat beli smartphone gak kerasa sampai adzan magrib untung di tiga putra juga jual minuman untuk batalin puasa wkwk Terima kasih Tiga Putra;baru pertama kali ke tiga putra jalan kawi pas puasa pegawai nya ramah dan informatif pas nungu saat beli smartphone enggak rasa sampai adzan magrib untung di tiga putra juga jual minum untuk batalin puasa wkwk terima kasih tiga putra;positive
Sangat suka pelayanan dari tiga putra Kawi,sangat ramah sekali,hrga juga murmer;sangat suka layan dari tiga putra kawi sangat ramah sekali hrga juga murah riah;positive
Tempat bagus & nyaman Parkir luas Pelayanan cepat & ramah;tempat bagus nyaman parkir luas layan cepat ramah;positive
Tiga putra ,konter favorit e wong indonesia massssseee♥️;tiga putra konter favorit wong indonesia mase;neutral
Semuanya bintang 5 lebih;semua bintang lebih;neutral
Tiga Putra Kawi.. Rekom toko HP di malang... bintang 10 pokoknya penilaian semuanya;tiga putra kawi rekom toko hp di malang bintang pokok nilai semua;neutral
Tempat jual hp, sepeda listrik, aksesoris lengkap harga bersaing di kota Malang. Semua kru nya ramah dan ada undiannya juga.;tempat jual hp sepeda listrik aksesoris lengkap harga saing di kota malang semua kru nya ramah dan ada undianya juga;positive
Tiga putra the best;tiga putra the best;neutral
Jalan jalan ke kota malang habis hari raya... Bingung mau beli oleh-oleh apa.. Mampir ke tiga putra kawi aja. Beli hape baru yang pasti oke punya... Tiga putra kawi mantap;jalan jalan ke kota malang habis hari raya bingung mau beli oleh oleh apa mampir ke tiga putra kawi saja beli hape baru yang pasti oke punya tiga putra kawi mantap;neutral
Tiga Putra woke banget...semua merk hp tersedia;tiga putra woke banget semua merk hp sedia;positive
Aku buta banget mengenai spek hp android sesuai dengan kebutuhan ibuq, begitu datang ke tiga putra kawi semua masalah teratasi, pegawainya ngejelasin banget dan akhirnya saat itu juga aku beli. Ibuq senang akupun juga seneng liatnya;aku buta banget kena spek hp android sesuai dengan butuh ibuq begitu datang ke tiga putra kawi semua masalah atas pegawai ngejelasin banget dan akhir saat itu juga aku beli ibuq senang aku juga senang lihat;positive
Uhuy cling;uhuy cling;neutral
Meskipun jauh selalu beli hp disini;meski jauh selalu beli hp sini;neutral
Beli hp disini type Vivo Y17 s , harga murah dengan spek tinggi, pelayanan bagus, tempat parkir luas, rekomended buat beli hp baru. Dan yang paling penting ada undiannya...;beli hp sini type vivo ya si harga murah dengan spek tingi layan bagus tempat parkir luas rekomended buat beli hp baru dan yang paling penting ada undianya;positive
Luas tempatnya, lengkap koleksi nya, harga terjangkau, pelayanannya OK, banyak hadiahnya.;luas tempat lengkap koleksi nya harga jangkau pelayananya ok banyak hadiah;positive
Pelayanan bagus dan ramah maju terus tiga putra;layan bagus dan ramah maju terus tiga putra;positive
Ada kepompong, ada kupu-kupu Cari hp baru,tiga putra yang aku tuju.. Tiga putra kawi kerenn.....;ada kepompong ada kupu kupu cari hp baru tiga putra yang aku tuju tiga putra kawi keren;neutral
Harga murah pelayanan bagus;harga murah layan bagus;positive
Tempat nyaman,pelayanan ramah,...pembayaran flexibel ada kredit atau tunai....2x beli ditempat ini sangat sangat menyenangkan karena pas banyak promo.... recommend banget utk kamu yg lagi butuh gadget....;tempat nyaman layan ramah bayar flexibel ada kredit atau tunai kali beli tempat ini sangat sangat senang karena pas banyak promo recomend banget untuk kamu yang lagi butuh gadget;positive
3putra kawi mantap...;putra kawi mantap;neutral
Karyawannya ramah banget makanya sering beli disini eh gak sering masih 3 kalii heheh kedepannya pasti sering beli disini lagi;karyawanya ramah banget makanya sering beli sini eh enggak sering masih kali heheh depa pasti sering beli sini lagi;positive
Tiga Putra toko hp paling lengkap semalang raya dan service karyawannya ramah ramah dan sangat membantu... sebelum lebaran sudah ambil 3 hp samsung di tiga putra kawi.... maju terus tiga putera kawi...;tiga putra toko hp paling lengkap malang raya dan service karyawanya ramah ramah dan sangat bantu belum lebaran sudah ambil hp samsung di tiga putra kawi maju terus tiga putera kawi;positive
Toko nya bagus,pelayanannya baik,karyawannya ramah,banyak cashback bikin pelanggan tertarik;toko nya bagus pelayananya baik karyawanya ramah banyak cashback bikin pelang tarik;positive
Pelayanan nya sangat ramah, produknya juga bagus bagus, pokonya terbaik!!;layan nya sangat ramah produk juga bagus bagus pokok baik;positive
Tiga putra toko hp terbaik,terlengkap, pelayanan sangat membantu dalam pemilihan hp yang cocok untuk kebutuhan. Sukses dan maju terus untuk tiga putra kawi malang;tiga putra toko hp baik lengkap layan sangat bantu dalam pilih hp yang cocok untuk butuh sukses dan maju terus untuk tiga putra kawi malang;positive
toko hp terbaik. pengalaman beli hp disini selalu awet dan harganya ramah kantong plus banyak promonya hehe. tempat parkirnya juga luas, karyawannya juga cakep cakep dan ramah. salesnya juga paham betul soal produknya jadi lebih gampang untuk bandingin hp dari brand lain yang sesuai dengan kebutuhan kita (good job). sukses selalu tiga putra...;toko hp baik alam beli hp sini selalu awet dan harga ramah kantong plus banyak promonya hehe tempat parkir juga luas karyawanya juga cakep cakep dan ramah salesnya juga paham betul soal produk jadi lebih gampang untuk banding hp dari brand lain yang sesuai dengan butuh kita good job sukses selalu tiga putra;positive
Rekomended, pelayanan ramah, pilihan banyak dan hadiah berlimpah.;rekomended layan ramah pilih banyak dan hadiah limpah;positive
Tempatnya beli HP terlengkap di Malang, pelayanannya juga baik dan ramah;tempat beli hp lengkap di malang pelayananya juga baik dan ramah;positive
Mantap, Pelayanan Ramah;mantap layan ramah;positive
Tempatnya bersih,pelayanan sangat baik,pegawai sopan semua,produk selalu update terbaru.dan yang pasti seru karna ada undian yang hadiahnya menarik semua...pokoknya terbaik.;tempat bersih layan sangat baik pegawai sopan semua produk selalu update baru dan yang pasti seru karena ada undi yang hadiah tarik semua pokok baik;positive
Rekomendasiin beli HP paling top;rekomendasi beli hp paling top;neutral
Tiga putra selalu maju biar tambah maju keren bgt tempatnya;tiga putra selalu maju biar tambah maju keren banget tempat;neutral
Pelayanan terbaik.. penjelasan tentang hp sangat jelas dan ringkas.. Tempatnya nyaman, parkiran luas;layan baik jelas tentang hp sangat jelas dan ringkas tempat nyaman parkir luas;positive
Alhamdulillah tempatnya sangat strategis, mudah dijangkau, pelayanannya cepat dan ramah, semoga tambah lancar usahanya;alhamdulilah tempat sangat strategis mudah jangkau pelayananya cepat dan ramah moga tambah lancar usaha;positive
tiga putra pelayanan nya baik bagus, banyak diskonya dan lengkap mulai dari sepeda listrik,handphone dan dll terlengkap semalang raya, semoga lancar selalu dan sukses kedepannya;tiga putra layan nya baik bagus banyak disko dan lengkap mulai dari sepeda listrik handphone dan dulu lengkap malang raya moga lancar selalu dan sukses depa;positive
CS ramah2.. pelayan amat baik.. dan termurah.. selalu langganan dr tahun2018.;cs ramah layan amat baik dan murah selalu langanan dari tahun;positive
Seru sering ada kocokan undian berhadiah. Bersaing harga, tempat nyaman, parkir luas, baik beli atau gak beli tetep grapyak/ramah pelayanan. Input aja dikit klo proses pembelian auto kasih minum gratis donk, seperti kita service motor di Astra meski buat 1 person. Thx;seru sering ada kocok undi hadiah saing harga tempat nyaman parkir luas baik beli atau enggak beli tetap grapyak ramah layan input saja dikit kalo proses beli auto kasih minum gratis dong seperti kita service motor di astra meski buat person thx;positive
Tiga putra pelayananny ramah, cabang ny jg banyak ditengah kota ada, di kabupaten jg ada, jd bisa mudah untuk cus langsung beli ke tempat... Hp yg dijual jg bnyk seriny, ada acsecoris ny jg. Dan yg paling menarik bnyk undian hadiah untuk customer Trimakasih tiga putra, jaya selalau;tiga putra pelayanany ramah cabang nya juga banyak tengah kota ada di kabupaten juga ada jadi bisa mudah untuk cus langsung beli ke tempat hp yang jual juga banyak seriny ada acsecoris nya juga dan yang paling tarik banyak undi hadiah untuk customer trimakasih tiga putra jaya lalau;positive
Jika mencari lebih dari sekadar toko elektronik, melangkahlah ke Tiga Putra Kawi tempat di mana teknologi bertemu dengan gaya hidup.Dari rak-rak penuh dengan gadget terbaru hingga sudut-sudut yang diisi dengan perangkat elektronik canggih, setiap sudut Tiga Putra Kawi menyiratkan kisah yang menarik.;jika cari lebih dari sekadar toko elektronik langkah ke tiga putra kawi tempat di mana teknologi temu dengan gaya hidup dari rak rak penuh dengan gadget baru hinga sudut sudut yang isi dengan perangkat elektronik cangih tiap sudut tiga putra kawi sirat kisah yang tarik;positive
Sekian kali dtg belanja disini dilayani dgn staf nya as always ramah dn menyenangkan, all staf friendly. Love this place (Tiga Putra Kawi) dn malam ini akupun dpt ketupat dr Tiga Putra Kawi, thx Tiga Putra n all team;sekian kali datang belanja sini layan dengan staf nya as always ramah dan senang al staf friendly love this place tiga putra kawi dan malam ini aku dapat ketupat dari tiga putra kawi thx tiga putra al team;positive
