text,sentiment_before,sentiment_after
"Nyari screenguard buat tab. Awalnya amaze sat set sat set, diiyakan kalau mereka punya, tanpa cek tipe tabnya. Kemudian agak aneh karena langsung diarahkan ke kasir untuk bayar padahal barang belum dicek. Ya udah saya iyain aja, dengan asumsi mereka pasti ada dan punya. Setelah bayar disuruh ke lantai 2. Di lantai 2 saya tunggu, gak lama ada mbaknya yang langsung menuju ke printer screenguard, tanpa tanya tipe tab saya, apalagi diminta unitnya untuk dicek. Akhirnya saya yang harus proaktif ""mba mau ngeprint ya? Ini tabnya Itel xxxxxx ya"" sambil aku serahkan unitnya. Udah tu aku kira aman. Tinggal tunggu selesai. Gak taunya, mereka bilang ""kak ini tabnya kebesaran"". Ya udah marahlah saya di situ Saya dari awal udah nunjukin di hp, ini merek dan tipe tabnya apa. Sesuai pamflet brandnya. Jadi bukan saya salah kasih info. KENAPA GAK TANYA/DIPASTIKAN DARI AWAL TAB SAYA TIPE APA? KENAPA BURU2 SAYA LANGSUNG DISURUH BAYAR TANPA CEK PRODUK YG DITAWARIN BAIK2?! akhirnya tentu saja saya di refund. Tapikan rugi waktu dan emosi sih, pelayanan macam apa ini Udah gitu mbanya cuma balikin tab, gak minta maaf. Cuma bilang kalau tabnya kebesaran dan screen guardnya gak cukup. Hebat banget pelayanannya",negative,negative
Lonba mewarna di tiga putra kawi,neutral,positive
"Sering sering bikin acara seperti ini,, agar anak anak bisa belajar berkompetisi, dan selalu semngat menjadi juara",negative,positive
"Sangat bagus untuk anak"" dpt berkreasi dengan adanya lomba mewarnai ini, sklian dpt mengisi waktu liburan jg bisa melihat-lihat atau beli hp dan accesories nya",positive,positive
Menyenangkan assyik tiga putra jaya jaya,positive,positive
"Tiga putra selalu yg terbaik, harga nyapun murah..",positive,positive
Minggu semangat bersama tiga putra,positive,positive
Pertama kali nya ikutan lomba di tiga putra..tenyata tempat nya besar dan banyak asesoris HP.. Banyak pengalaman cocok beli disini..,positive,positive
"Tiga putra semoga makin sukses kedepannya, terimakasih telah menjadi wadah untuk pekembangan putra putri bangsa",positive,positive
Sangat seru sekali lomba mewarnai di tiga putra kawi,positive,positive
Tiga putra terbaik . Dan semoga lancar terus,positive,positive
Toko HP di malang yang lengkap dan pelayanan ramah.,negative,negative
Lomba mewarna anak di tiga putra kawi malang,negative,negative
Permisi numpang tanya disini jual HP iqoo gk min?,positive,positive
"Pelayanan bagus, udah beberapa kali beli disini selalu diberi rekomendasi yang tepat. Terimakasih terutama kepada mbak iin yang memberi pelayanan terbaik kepada saya☺️",positive,positive
"Beli handphone di Tiga Putra dibantu sama mbak Rere dan mbak Iin, pelayanan nya ramah, dibantu dengan baik. Terima Kasih",positive,positive
"Bolak balik kesini puas sih sama pelayanannya, walaupun sempat tanya2 dulu g langsung beli buat perbandingan merk mas nya tetap melayani dengan ramah. Kayak e mas2 yg tulus sih. Mungkin kalo ketoko sini bisa cari mas Rossi deh",positive,positive
"Pelayanan TIGA PUTRA dari dulu memang sangat buruk. Dulu pernah beli dapet sales cowo yg pelayanannya buruk, bisa marah2 gitu ke customer. barusan sekarang coba beli lagi ternyata pelayanan salesnya buruk lagi. Yg barusan dilayani ama sales cewe namanya iin. Belum beli aja, lu ngejar ngejar customer suruh beli barangnya. Abis selesai dibeli dibayar, salesnya tidak mau meladeni lagi. Gak bakall deh beli lagi di tiga putraa !!!!!mending saya beli di samsung official store aja langsung, halah beli disini palingan cuman dapet potongan 50 ribu - 100 ribu doankk dengan pelayanannn burukkk sekalii!! Kasi minum air putih aja gak dikasi sama sekaliii,,,kagak modalll!!!! Gak bakalll ke tempat ini lagi....cukup kmrn terakhir kali ..",negative,negative
"Pelayanan bagus, mas mbak nya ramah, dan banyak event-event menarik di tiga putra.. mantap",positive,positive
satpamnya bintang 1 bgt ga ramah,positive,positive
Tolong kedepannya kl konsumen bilang pakai kartu kredit jgn di jebak buat bikin akun pinjol ya! Apalagi pinjol indodana. Orang jelas2 pake kartu kredit malah disuruh daftar pinjol. Terus kl udh pake kartu kredit tuh biasannya lgsg pake kartu. Kok bisannya di jebak pembayarannya lewat ecommerce? Tau gitu beli online aja gk ush repot2 datang.,negative,negative
"satpam nya ga sopan ,pelanggan merasa ga dihormati.minimal kasi pelayanan yg baik lah.mending bayar parkir 2ribu daripada parkir gratis kyk gitu",positive,positive
"satpam nya ga ramah sama sekali ,masa sama costumer gabisa ngomong baik2.masa sama costumer ngomongnya nada tinggi gapunya attitude ngejelekin nama perusahaan aja kalo gitu buat pelanggan ga nyaman.",positive,positive
Pegawai ramah,positive,positive
"Pelayanan terbaik dg mas Ervian, maaf ternyata namanya mas Erivan. Komunikatif. Sabar dan ramah. Sampai sekarang masih disini kalau perlu hp.",positive,positive
Pelayanannya cepat dan ramah,positive,positive
Tempat bagus dan nyaman pelayanan jg memuaskan,positive,positive
Mbak Dwi pelayanannya sangat bagus terhadap costumer. Tempatnya nyaman Maju terus dan sukses selalu untuk 3 Putra Kawi,positive,positive
Pelayanan responsif,positive,positive
Pelayanan baik dan ramah puas sekali,positive,positive
"Pelayanan bagus , promo banyak dan tempat nyaman",positive,positive
Para staff ramah dan mengarahkan. Tidak condong pada merek tertentu. Bisa mereferensikan semua produk.,negative,negative
"Pelayanan sangat baik, ramah, cepat dan terpercaya barang berkualitas dan dalam kondisi baik dan baru",positive,positive
"Belanja di tiga putra Hp pusat kawi, beberapa kesempatan sangat menyenangkan kan, terutama dengan segi pelayanan yg sangat amat baik, untuk MB Selfi n mas Adit.. Segala merk hp dgn kualitas, harga sangat terjangkau, pelayanan memuaskan..Sering2 belanja Hp di tiga putra kawi, BS JD alternatif menyenangkan kan utk semua konsumen yg hobi beli Hp dan ingin upgrade..BS pilih tiga putra kawi utk beli Hp..Salam sukses selalu utk semua konsumen dan karyawan tiga putra kawi .",positive,positive
Tempat langganan beli HP. Original & service ramah. Thank you!✨,positive,positive
Mbak mbak pelayannya sangat membantu...harga bersahabat lho disini dibanding yg lainnya,positive,positive
"Pelayananya baik , selalu beli samsung di 3 putra",positive,positive
Cs ramah dan membantu sekali,positive,positive
"Alhamdulillah.. Dah beli HP baru di tiga putra kawi Pelayanan cepat, ramah, informatif.. The best!",positive,positive
"Pelayananannya baik dan ramah, barang yang ditawarkan lengkap. Mantaaap",negative,positive
Selalu langganan disini.,positive,positive
"Terima kasih banyak, pelayanannya sangat baik. Recommended untuk beli HP di tiga putra store kawi",positive,positive
barang lengkap..fasilitas nyaman dan pelayanan ramah..terimakasih,positive,positive
Tingkat kan ke ramah dan murah senyum,positive,positive
Coba pegawainya senyum lak muaniss,positive,positive
Kalo ada customer keseana harus nya di permudah bukan nya si persulit kesana kemarai,negative,negative
Karyawan tidak punya etika ...,positive,positive
"Tempat terburuk untuk menjual hp dan karyawan tidak punya etika , sistem kerja karyawan juga tidak pasti , orang dibilang produk bukan asli bukan hp konternya sendiri yang bukan produk asli",negative,negative
"Karyawan pada sibuk sendiri , Ac dimatikan ruangan jadi pengap masak toko segede gini dimatikan acnya padahal saya bawa anak kecil , pelayanan buruk saya dilempar seperto bola pingpong sales ini sales itu",negative,negative
Beli samsung A55 di toga putra kawi daat promo free parcel,positive,positive
"Pelayanannya satset , Mbk nya Ramah asik di Ajak bercanda. Mbk gayaatri sama Mbk kredivo Selvy terus tigaputra",positive,positive
"Pelayanannya bagus, tapi ada beberapa staff yang memaksa dan terus menanyakan hal” yang terkesan tidak percaya dengan pelanggan",negative,negative
Pelayanan bagus sekali mantab,neutral,positive
Mantab,neutral,positive
Oke,positive,positive
Pelayanan yang ramah,neutral,positive
Pelayanan baik sabar rekomen banget buat cari handphone di 2025,positive,positive
Pelayanannya mas tama ramah dan oke,positive,positive
Sudah langganan . Proses cepat.,positive,positive
"Langganan disini, dan kebetulan ada promo, beli hp dapat parcel. Sukses selalu Tiga Putra",positive,positive
Pelayanan ramah dan memuaskan,positive,positive
Promonya oke hadiah oke dan pelayanannya oke Terimakasih mas tama,positive,positive
Pelayanan mas tama oke penjelasan ringkas.. Terimakasih tiga putra,positive,positive
"Good banget, pelayanan dari promotor nya",positive,positive
Layanan cepat dan ramah,positive,positive
"Tempat Bagus, Pelayanan Ramah. Tetimakasih Tiga Putra",neutral,positive
"Pelayanannya ramah, totalitas dan santun dapat parcel lg untuk pembelian di bulan Romadhon gas kan guys ke 3 Putra",neutral,positive
"Pelayanan nya bagus , rekomen buat yg cari hp harga dijamin termurrahh ✨✨",positive,positive
Tiga putra menarik,neutral,neutral
Di layani sama mbk sbil cantek,positive,positive
"pelayanan top markotop, jelas banget penjelasannyaa, terus dapet parcel jugaa karna promo ramadhan. Sukses selalu tiga putra kawi dan mbak masnyaa",positive,positive
"Pelayanan mbak Rima selalu baik, ramah, gercep, murah, istimewa, langganan disini",positive,positive
"Hari ini sebenernya mau beli HP ke toko ini, di rumah liat rating toko banyak yg bintang 1, kasir judes, cari toko lain aja. Wkwkw",negative,negative
Gak niat ngadain doorprize buat konsumen. Mending beli online aja banyak promo.,positive,positive
"Responsif, dan pelayanannya sangat baik",neutral,neutral
"Terimakasih banyak, Mas Agung, wes sabar njelasno kanan kiri ke sy yg bingung cari hp, soalnya pilihanya lengkap dan bersaing. Wes pokoknya jempol rekomended wes... Thanks 3 putra. Sudah dapat gift juga n undian... Mudah2an dapat. Amin2",positive,positive
Seller responsif dan cepat,neutral,neutral
"Beli unit samsung ditiga putra kawi kebetulan yang melayani mas udin, ramah banget informatif dan super helpfull parah. Unitnya juga bagus semoga awet.",negative,positive
Karena workshop oppo Reno 13 hari ini jadi kepincut pengen PO,negative,negative
Puas sekali,positive,positive
Pelayanan bagus dan acaranya menarik,positive,positive
Keren dan rame pelayanan cepat,positive,positive
"Pelayanan ramah, tempat nyaman",positive,positive
Sangat senang dengan pelayanannya,negative,positive
"Mohon maaf tapi emang harus ⭐1, di tanya di DM IG boleh atau ga beli di Shopee tapi ambil di toko balesannya gak boleh, di tanya di official tokonya juga di Shopee gak boleh juga, lumayan padahal voucher diskon saya, eh begitu beli di toko, ada yg beli lewat Shopee, hpnya diambil sendiri, notanya doang dikirim sama kurir, kocaaakkkkkk",negative,negative
"Gae mas² sing lemu rambut lurus tolong lek ngelayani sing ramah, masio mek takon² tok. Jalok brosur Xiaomi jare gaonok, barang diterno Nang display hpne lakok onok. Iyo lek ganteng ngono, wes gak ganteng gak ramah neh. Minimal ados sek mas.",positive,positive
"Pelayananny cukup ramah dan baik Dsaat kita mau lihat2 aja, kita ga terlalu digangguin jadi lebih puas buat cek2. Ga langsung beli tapi minta kontak buat lebih lanjut tanya via WA juga dilayani dengan baik So far aftersalesny juga bagus.",positive,positive
Malam ini saya belanja di Tiga putra kawi proses nya aman dan enjoy aja sih cuma di bagian pembayaran mbak² kasir nya (name tag aura) kurang menghargai customer saya menanyakan perihal pembelian dijawab dengan ketus dan judes mohon perbaiki attitude kasir nya saya belanja jadi ga nyaman tolong hargai saya juga beli pakai uang yang tadinya happy jadi kaya gini,negative,negative
"kasirnya kurang enak, buat ganyaman , mana judess. tolong diperbaiki lagi buat yang dikasir",negative,negative
"Belanja di tiga putra menyenangkan. Di dampingi oleh m. ALFA baik, ramah, dan sangat sangat membantu.",neutral,positive
"Baru saja ngalamin transaksi di tiga putra kawi, tidak tahu kenapa yg awalnya lancar, baik2 saja dan sudah transaksi di lewat shopee, sempat nunggu lama. Tiba2 pegawainya bilang barang yg saya beli tidak tersedia, dan hanya sisa display .. padahal sebelumnya sempat tanya katanya tidak ada display aneh sih ini, bener2 jadi tanda tanya besar. Dan setelah saya cek lagi barang tersebut masih ada di shopee.",negative,negative
"pas minggu ke toko kawi, lagi berdiri dekat kasir, kasirnya ditanyaain sama mbak mbak disampingnya, kasirnya malah JUDES banget jawabnya. meski ngobrol sama sesama karyawan, kesannya kurang baik aja kalo di depan customer. dan posisi di depannya ada gojek lagi antri mau ambil barang. attitude mbak kasirnya tolong di perbaiki lagi",negative,negative
"Pelayanan, fasilitas, harga, kelengkapan produk yg tersedia, smua membuat tempat ini jd tempat yg recommended bgt utk beli Gadget. Top deh.. Thankyou",positive,positive
"Pelayanan ramah Banyak promo Tempat nyaman , bersih",positive,positive
Pelayanan sangat ramah dan bagus...,positive,positive
"Saya rekomendasikan untuk membeli hp dan gadget di sini. Pelayanan sangat the best dan demo hp dna gadget lain sangat lengkap dan detail. Harga juga bersaing. Personilnya ramah-ramah, humble dan friendly semuanya.",negative,negative
Di layani sama sabil cantik,negative,positive
Mantap sangat fast respon Sales adit oppo,positive,positive
Toko handphone pelayanan terbaik dan memuaskan joss,positive,positive
Pelayanan bagus .memuaskan . Cm AC kurang dingin . Harga lumayan,positive,positive
"Rekomended buat beli gawai. Servicenya juga top banget. Td dilayani sama Mba Gayatri, ramah banget orangnya. Kasih penjelasannya juga detail. Bintang Lima pokoknya.",positive,positive
"Tiga Putra kawi pelayanan memuaskan , beli nyaman , legah & sangat - sangat puas kwalitas barang di jamin sangat bagus",negative,positive
"Tempatnya bagus,bersih,luas,untuk pelayananya tdk perlu di ragukan lagi mbak riris emang terbaik sih semoga selalu di pertahankan terus untuk kualitas pelayanannya,sukses selalu tiga putra",positive,positive
"Harga miring pelayanan mas tama oke, tempatnya juga nyaman .. Terimakasih tigaputra",positive,positive
Pelayanan sales mba ria : Pelayanan dari Mba Ria sangat bagus dan memuaskan,positive,positive
Kerenn pelayanannya....,neutral,neutral
"lagi lagi beli hp ke tiga putra krn pelayanannya yg ramah, dilayani sama mas rossi yg baik terima kasih mas rossi.",positive,positive
"Pelayanan nya oke,mas tama juga ramah dan telaten dalam handel cust .. Terimakasih",positive,positive
Dari dtg sampe aku beli ramah buanget bisa langsung ke bro erifan aja kalau ksni kalian gak bakalan pusing milih dy jelasinnya detil poll tempatnya nyaman adem pelayanan sat set,positive,positive
Puas banget . Pelayanan sopan. Harga terjangkau The best,positive,positive
Pelayanan baik dan ramah Informasi yang diberikan mudah dipahami. Dibantu oleh mas Yusril. Terima kasih,positive,positive
"Store hp yang bagus di kota malang. Tempatnya bagus, bersih, luas, semua brand hp lengkap. Salesnya ramah, baik, telaten. Saya di layani sama mbak avia dan mas zein terimakasih servisnya",negative,negative
Pelayanan ramah datang langsung di bantu sama mbk diajeng diarahkan dengan kalem dan sabar tiga putra the best,positive,positive
Lengkap,negative,negative
Pelayanan mbak diajeng very good.. Udah langganan kapan dikasih hadiah ya,positive,positive
Penanganannya sangat cepat dan ramah makasih ya mbk Gayatri udah bisa membantu pelayanannya dengan sat set,positive,positive
Pelayanan bagus dan ramah,positive,positive
Kak yajeng Pelayanan ramah dan baik terhadap kastermer,positive,positive
Terima kasih tigaputra Pelayanan dari adit oppo,positive,positive
"Banyak promo dan hadiahnya, dan untuk pelayanan nya mas tama oke dan ramah.. Terimakasih tiga putra",positive,positive
Di layanii sama kak sabil mantap,positive,positive
"Sangat lengkap, pelayanan nya pun juga ramah",negative,negative
Pelayanan ramah cepat Barang nya juga rekomendasi banget,positive,positive
Sangat membantu,negative,negative
Sangat rekomendasi untuk yang bingung buat beli hp pertama kali bisa disini saya dinotice langsung dengan mas ahmad bisa ditanyakan semuanya tentang spesifikasi dan lain lainya sangat membantu,negative,negative
Pelayanan ramah parkir luas tempat nyaman,positive,positive
Pelayanannya bagus Untuk mas bintang nya ramah,neutral,neutral
"Pelayanannya bagus banget, kakaknya ramah dan pelayanannya cepat",positive,positive
"Pelayanan mantap, tempat juga nyaman",positive,positive
Selalu beli hp baru disini mantap bro,positive,positive
"pelayanannya bagus,mbak ramah",neutral,neutral
Ramah banget,positive,positive
Menyala,neutral,positive
"Pelayanannya ramah, bisa nego",positive,positive
"Pelayanan baik , karyawan baik dan ramah .. tempat nyaman",positive,positive
great,positive,positive
Ramah ramah pelayanan bagus,positive,positive
"Saya suka pelayanan di Tiga Putra HP dari jaman saya SD karena pelayanan yang memuaskan dan banyak promo yang ditawaran, tempat luas dan banyak cabang suka bangett",negative,negative
pelayanan nya ramah pilihan barang lengkap,positive,positive
Good,positive,positive
Bagus pelayanannya,negative,negative
sangat baik,neutral,neutral
Pelayanan terbaikk,positive,positive
"Pengalaman yang sangat nggak enak. Waktu hujan deras, saya pinjam payung, tapi satpamnya malah ngelayanin dengan kasar dan nggak ramah sama sekali. Padahal saya cuma butuh bantuan karena lagi hujan deras. Jujur, jadi bikin nggak nyaman banget. Semoga ke depannya pelayanannya bisa lebih baik dan sopan.",negative,negative
Customer service is really great! very satisfied. Friendly and helpful.,positive,positive
"Cukup lengkap, harga bersaing, tp salesnya kurang menguasai produk",negative,negative
lengkap,negative,negative
"Duluuu banget jaman beli hp pertama tuh di Tiga Putra yang di Gajahmada. Akhirnya kembali ke Tiga Putra lagi setelah buka di Kawi yang deketttt buanget sama rumah. Trus ada Grapari nya di lantai 2. Seneng banget kalo butuh ke Grapari gak usah jauh2 lagi. Graparinya yg di sini pelayananannya juga oke (udah pernah saya review). Lokasinya strategis, akses parkir gampang, tempat bersih, nyaman, luas. Pelayanan dari pintu masuk, pembelian, pembayaran, sampe instalasi sangat baik semua. Hari ini saya beli produk pas banget ada promo cashback 300rb. Berlaku sampe tanggal 10 Juli 2024 aja guys. Buruan.",negative,negative
Pelayanan ramah dan memuaskan . Soal harga ya bawa rupa lah yaa.. So far so good,positive,positive
"Pelayanan oke bgt,, byk diskon dan paling ibu2 suka bisa nyicil acara lomba byk bgt hadiah langsung gratis lagi pendaftarannya",positive,positive
3 putra paling berkualaitas produk sangat baik,positive,neutral
"lengkap, murah dan terpercaya",neutral,positive
Mbak mbak kasir kurang ramah,negative,positive
"Pelayanan yg memuaskan, stok terlengkap",neutral,negative
Kasir nya tanpa senyum dan urusan pembayaran ribet.,negative,positive
"Pelayanan sangat ramah ,harga termurah ,",positive,positive
Pelayanan suip,positive,positive
Beli hp dapet hadiah juga,positive,positive
"Seruu bangett, pelayanan nya juga baguss, ruangan nya sangat baik dan nyaman, nyaman polll saya sangat senang di tiga putra, pelayanan baik baik semua dan ramah semua...",positive,positive
"Mantab, produk lengkap, pilihan varian selali tersedia, pelayanan sangat memuaskan, sales ramah, harga termurah, sudah cari di toko lain, ternyata pilihan termurah tetap di tiga putra, pertahankan, puas bgt belanja di tiga putra",positive,positive
Tiga putra toko hp Ter the best,neutral,neutral
Terimakasih atas informasinya,positive,positive
Terima kasih,positive,positive
Pelayanan bagus sekali,neutral,positive
"Tepung terigu dalam kuali, ikat wadahnya gunakan taki, jangan ragu beli hp lagi, hanya di tiga putra kualitas terjamin dan terbukti ❤️❤️❤️",negative,positive
Tiga putra kawi the best,neutral,neutral
Tiga putra is the best,neutral,neutral
Pelayanannya baik dan ramah,positive,positive
Pelayanannya bagus,negative,neutral
Top,positive,positive
Tiga putra mantap,positive,positive
Harga ok pelayanan ok,positive,positive
"Tempat nyaman, lokasi strategis. Oke banget beli disini. Pelayanan nyaman.",positive,positive
Tiga putra luar biasa,negative,negative
Murah aman terpercaya,positive,positive
"Pelayanan ok, dan sat set",positive,positive
"Tiga putra terbaik, amanah",positive,positive
"Peehh Jan Nyeni om hp e, semangat terus om",positive,positive
Pita tiara warna biru Tiga putra semakin maju Terimakasih Tiga Putra Banyak produc nya murah dan bnyak bonus,positive,positive
"Tiga putra kawi memang mantap,pelayan dan banyak pilihannya",positive,positive
Saat datang langsung dibantu dan diarahkan. Pegawai sangat ramah dan membantu proses transaksi. Store luas dan nyaman. Tempat parkir juga memadai.,positive,positive
TIGA PUTRA KAWI kerennnn...hadiah berlimpahhh KETUPAT.. KEJUTAN UNTUNG BERLIPAT,positive,positive
Tiga putra kawi weldone semoga selalu jaya,positive,positive
Baru pertama kali ke tiga putra jalan kawi pas puasaan. Pegawai nya ramah dan informatif. Pas nunggu saat beli smartphone gak kerasa sampai adzan magrib untung di tiga putra juga jual minuman untuk batalin puasa wkwk Terima kasih Tiga Putra,positive,positive
"Sangat suka pelayanan dari tiga putra Kawi,sangat ramah sekali,hrga juga murmer",negative,positive
Tempat bagus & nyaman Parkir luas Pelayanan cepat & ramah,positive,positive
"Tiga putra ,konter favorit e wong indonesia massssseee♥️",neutral,positive
Semuanya bintang 5 lebih,negative,negative
Tiga Putra Kawi.. Rekom toko HP di malang... bintang 10 pokoknya penilaian semuanya,negative,negative
"Tempat jual hp, sepeda listrik, aksesoris lengkap harga bersaing di kota Malang. Semua kru nya ramah dan ada undiannya juga.",negative,negative
Tiga putra the best,neutral,neutral
Jalan jalan ke kota malang habis hari raya... Bingung mau beli oleh-oleh apa.. Mampir ke tiga putra kawi aja. Beli hape baru yang pasti oke punya... Tiga putra kawi mantap,positive,positive
Tiga Putra woke banget...semua merk hp tersedia,positive,positive
"Aku buta banget mengenai spek hp android sesuai dengan kebutuhan ibuq, begitu datang ke tiga putra kawi semua masalah teratasi, pegawainya ngejelasin banget dan akhirnya saat itu juga aku beli. Ibuq senang akupun juga seneng liatnya",negative,negative
Uhuy cling,neutral,positive
Meskipun jauh selalu beli hp disini,negative,negative
"Beli hp disini type Vivo Y17 s , harga murah dengan spek tinggi, pelayanan bagus, tempat parkir luas, rekomended buat beli hp baru. Dan yang paling penting ada undiannya...",positive,positive
"Luas tempatnya, lengkap koleksi nya, harga terjangkau, pelayanannya OK, banyak hadiahnya.",positive,positive
Pelayanan bagus dan ramah maju terus tiga putra,positive,positive
"Ada kepompong, ada kupu-kupu Cari hp baru,tiga putra yang aku tuju.. Tiga putra kawi kerenn.....",negative,negative
Harga murah pelayanan bagus,positive,positive
"Tempat nyaman,pelayanan ramah,...pembayaran flexibel ada kredit atau tunai....2x beli ditempat ini sangat sangat menyenangkan karena pas banyak promo.... recommend banget utk kamu yg lagi butuh gadget....",positive,positive
3putra kawi mantap...,positive,positive
Karyawannya ramah banget makanya sering beli disini eh gak sering masih 3 kalii heheh kedepannya pasti sering beli disini lagi,positive,positive
Tiga Putra toko hp paling lengkap semalang raya dan service karyawannya ramah ramah dan sangat membantu... sebelum lebaran sudah ambil 3 hp samsung di tiga putra kawi.... maju terus tiga putera kawi...,negative,positive
"Toko nya bagus,pelayanannya baik,karyawannya ramah,banyak cashback bikin pelanggan tertarik",positive,positive
"Pelayanan nya sangat ramah, produknya juga bagus bagus, pokonya terbaik!!",positive,positive
"Tiga putra toko hp terbaik,terlengkap, pelayanan sangat membantu dalam pemilihan hp yang cocok untuk kebutuhan. Sukses dan maju terus untuk tiga putra kawi malang",positive,positive
"toko hp terbaik. pengalaman beli hp disini selalu awet dan harganya ramah kantong plus banyak promonya hehe. tempat parkirnya juga luas, karyawannya juga cakep cakep dan ramah. salesnya juga paham betul soal produknya jadi lebih gampang untuk bandingin hp dari brand lain yang sesuai dengan kebutuhan kita (good job). sukses selalu tiga putra...",positive,positive
"Rekomended, pelayanan ramah, pilihan banyak dan hadiah berlimpah.",positive,positive
"Tempatnya beli HP terlengkap di Malang, pelayanannya juga baik dan ramah",negative,negative
"Mantap, Pelayanan Ramah",positive,positive
"Tempatnya bersih,pelayanan sangat baik,pegawai sopan semua,produk selalu update terbaru.dan yang pasti seru karna ada undian yang hadiahnya menarik semua...pokoknya terbaik.",negative,negative
Rekomendasiin beli HP paling top,positive,positive
Tiga putra selalu maju biar tambah maju keren bgt tempatnya,positive,positive
"Pelayanan terbaik.. penjelasan tentang hp sangat jelas dan ringkas.. Tempatnya nyaman, parkiran luas",positive,positive
"Alhamdulillah tempatnya sangat strategis, mudah dijangkau, pelayanannya cepat dan ramah, semoga tambah lancar usahanya",positive,positive
"tiga putra pelayanan nya baik bagus, banyak diskonya dan lengkap mulai dari sepeda listrik,handphone dan dll terlengkap semalang raya, semoga lancar selalu dan sukses kedepannya",positive,positive
CS ramah2.. pelayan amat baik.. dan termurah.. selalu langganan dr tahun2018.,positive,positive
"Seru sering ada kocokan undian berhadiah. Bersaing harga, tempat nyaman, parkir luas, baik beli atau gak beli tetep grapyak/ramah pelayanan. Input aja dikit klo proses pembelian auto kasih minum gratis donk, seperti kita service motor di Astra meski buat 1 person. Thx",positive,positive
"Tiga putra pelayananny ramah, cabang ny jg banyak ditengah kota ada, di kabupaten jg ada, jd bisa mudah untuk cus langsung beli ke tempat... Hp yg dijual jg bnyk seriny, ada acsecoris ny jg. Dan yg paling menarik bnyk undian hadiah untuk customer Trimakasih tiga putra, jaya selalau",positive,positive
"Jika mencari lebih dari sekadar toko elektronik, melangkahlah ke Tiga Putra Kawi tempat di mana teknologi bertemu dengan gaya hidup.Dari rak-rak penuh dengan gadget terbaru hingga sudut-sudut yang diisi dengan perangkat elektronik canggih, setiap sudut Tiga Putra Kawi menyiratkan kisah yang menarik.",negative,negative
"Sekian kali dtg belanja disini dilayani dgn staf nya as always ramah dn menyenangkan, all staf friendly. Love this place (Tiga Putra Kawi) dn malam ini akupun dpt ketupat dr Tiga Putra Kawi, thx Tiga Putra n all team",positive,positive
"Pelayanan ramah, tempat nyaman & bersih . Beli hp di sini bisa dapat kupon undian berhadiah menarik . Cocok untuk berlangganan di toko tiga putra kawi dan tidak ngecewakan",positive,positive
Tempat undiannya rame banget hadiahnya sangat juga banyak,negative,negative
Proses kredit cepat dan tanpa DP..,positive,positive
"Toko HP terbaik, harga terjangkau, kualitas sangat menarik, pelayanan memuaskan, semoga bisa berlangganan",positive,positive
Barangnya komplit,neutral,negative
Tiga putra kawi ganok tunggalee mbois ilakes,neutral,positive
Pelayanan memuaskan Produk yg Di tawarkan berkualitas Harga murah,positive,positive
"baru pertama kali beli disini,seneng banget pelayanan ramah,super cepat,gak ribet belanja disini masyaallah semoga sukses terus",positive,positive
bagus banget,negative,positive
"Tempat paling komplit lah pokoknya, buat habisin duit wkwkwk",negative,negative
"Pelayanan ramah sekali, tempatnya luas sekali, nyaman",positive,positive
Customer service nya baik² & banyak membantu,neutral,positive
Proses kredit cepat,positive,positive
"Mantap banyak promonya, sukses selalu tiga putra",positive,positive
Toko Hp yang lengkap Dan Harga.nya Oke banget Perkara pelayanan Over All Nice .Worth it banget . Sabar Sabar Pindah data juga sampai selsai .,positive,positive
"Pegawai cwok samsung tidak ramah disini ,mending langsung ke samsung store saja kalau beli .. Menyesal beli ke tiga putra not worth it susah diminta i tolong apa2 hahahah",negative,negative
Lagi cari ponsel baru utk anak,negative,negative
"Tolong kalau itikad dari awal beli bisa tanpa garansi,ya jadi harus konsisten,bukan waktu udah dibuatkan nota malah garansi dimasukan ke tagihan,padahal dari awal bilang bisa,tp waktu sudah tercetak jadi nota bilang udah dari sistem. Sangat kecewa",negative,negative
"Pelayanan baik,dan ramah,hrg standar toko sejenis",positive,positive
2x beli hp disini. Pelayanannya oke banget. Sabar² pokoknya hehehe. Kalau saya rekom buat yang nyari hp bisa kesini. Liat² tanya² dulu ajaaa gpp. Sapa tau langsung cocok,negative,negative
"varian HP lengkap, spg nya ramah, strategis lokasinya, ada kredit nya juga loh",positive,positive
"Staf nya ramah bangettt, masih di parkiran aja udah di say hello dengan ramah. Cuma nanya barang yg dicari, dibantu carikan sampe dapat atau ada barang yg mirip2 sama yg kita Mau. Stock HP baru lengkap.",positive,positive
Lama nunggunya..,negative,negative
Tanya2 aja awalnya ttg kredit setelah itu saudara yang mau ambil hp masih mikir2 meme muka karyawanya langsung berubah...jadi bikin gk berani kesini lgi,negative,negative
"Udah 2x kesini karena emang pelayanannya ramah² sih,, dan rekomendasinya slalu bagus. Tempatnya luas,, ada berbagai brand handphone,, tinggal pilih aja",negative,negative
"Pelayanan oke,cepat dan ramah. Tempat juga bersih. Kamar mandi juga bersih",positive,positive
"Stok ada ngakunya gak ada. Pembelian hp baru gak dijelasin isi box apa aja, gak dicoba dulu bisa apa gak. Dodol gorengan ae bos",negative,negative
