processed_text,sentiment
tepung terigu kuali ikat wadah guna taki jangan ragu beli hp kualitas jamin bukti,negative
the best,neutral
is the best,neutral
pelayananya baik ramah,neutral
pelayananya,neutral
top,positive
mantap,positive
harga layan,positive
tempat nyaman lokasi strategis oke banget beli sini layan nyaman,positive
luar biasa,neutral
murah aman percaya,positive
layan sat set,neutral
baik amanah,positive
peeh jangan nyeni om hp semangat terus om,negative
pita tiara warna biru makin maju terimakasih banyak produc nya murah banyak bonus,positive
memang mantap layan banyak pilihanya,positive
datang langsung bantu arah pegawai sangat ramah bantu proses transaksi store luas nyaman tempat parkir pada,positive
keren hadiah limpah ketupat kejut untung lipat,positive
weldone moga selalu jaya,positive
baru pertama kali jalan pas puasa pegawai nya ramah informatif pas nungu beli smartphone enggak rasa adzan magrib untung jual minum batalin puasa wkwk terima kasih,positive
sangat suka layan sangat ramah hrga murah riah,positive
tempat nyaman parkir luas layan cepat ramah,positive
konter favorit wong indonesia mase,neutral
semua bintang lebih,neutral
rekom toko hp bintang pokok nilai semua,neutral
tempat jual hp sepeda listrik aksesoris lengkap harga saing kota semua kru nya ramah undianya,negative
the best,neutral
jalan jalan kota habis hari raya bingung mau beli apa mampir beli hape baru oke punya mantap,positive
woke banget semua merk hp sedia,positive
aku buta banget kena spek hp android sesuai butuh ibuq datang semua masalah atas pegawai ngejelasin banget akhir aku beli ibuq senang aku senang lihat,negative
uhuy cling,neutral
meski jauh selalu beli hp sini,negative
beli hp sini type vivo si harga murah spek tingi layan tempat parkir luas rekomended buat beli hp baru paling penting undianya,positive
luas tempat lengkap koleksi nya harga jangkau pelayananya banyak hadiah,positive
layan ramah maju terus,neutral
kepompong kupu kupu cari hp baru aku tuju keren,negative
harga murah layan,positive
tempat nyaman layan ramah bayar flexibel kredit tunai kali beli tempat sangat sangat senang pas banyak promo recomend banget kamu butuh gadget,positive
mantap,positive
karyawanya ramah banget makanya sering beli sini eh enggak sering kali heheh depa sering beli sini,positive
toko hp paling lengkap malang raya service karyawanya ramah ramah sangat bantu lebaran ambil hp samsung maju terus putera,negative
toko nya pelayananya baik karyawanya ramah banyak cashback bikin pelang tarik,positive
layan nya sangat ramah produk pokok baik,positive
toko hp baik lengkap layan sangat bantu pilih hp cocok butuh sukses maju terus,negative
toko hp baik alam beli hp sini selalu awet harga ramah kantong plus banyak promonya hehe tempat parkir luas karyawanya cakep cakep ramah salesnya paham betul soal produk jadi lebih gampang banding hp brand sesuai butuh good job sukses selalu,positive
rekomended layan ramah pilih banyak hadiah limpah,neutral
tempat beli hp lengkap pelayananya baik ramah,negative
mantap layan ramah,positive
tempat bersih layan sangat baik pegawai sopan semua produk selalu update baru seru undi hadiah tarik semua pokok baik,neutral
rekomendasi beli hp paling top,positive
selalu maju biar tambah maju keren banget tempat,positive
layan baik jelas hp sangat jelas ringkas tempat nyaman parkir luas,positive
alhamdulilah tempat sangat strategis mudah jangkau pelayananya cepat ramah moga tambah lancar usaha,positive
layan nya baik banyak disko lengkap mulai sepeda listrik handphone dulu lengkap malang raya moga lancar selalu sukses depa,positive
cs ramah layan baik murah selalu langanan tahun,neutral
seru sering kocok undi hadiah saing harga tempat nyaman parkir luas baik beli enggak beli tetap grapyak ramah layan input dikit kalo proses beli auto kasih minum gratis dong service motor astra meski buat person thx,positive
pelayanany ramah cabang nya banyak tengah kota kabupaten jadi mudah cus langsung beli tempat hp jual banyak seriny acsecoris nya paling tarik banyak undi hadiah customer trimakasih jaya lalau,positive
cari lebih sekadar toko elektronik langkah tempat mana teknologi temu gaya hidup rak rak penuh gadget baru hinga sudut sudut isi perangkat elektronik cangih sudut sirat kisah tarik,positive
sekian kali datang belanja sini layan staf nya as always ramah senang al staf friendly love this place malam aku ketupat thx al team,negative
layan ramah tempat nyaman bersih beli hp sini kupon undi hadiah tarik cocok berlanganan toko ngecewakan,positive
tempat undianya rame banget hadiah sangat banyak,neutral
proses kredit cepat dp,positive
toko hp baik harga jangkau kualitas sangat tarik layan muas moga berlanganan,positive
barang komplit,neutral
ganok tungalee mbois ilakes,neutral
layan muas produk tawar kualitas harga murah,positive
baru pertama kali beli sini senang banget layan ramah super cepat enggak ribet belanja sini masyaalah moga sukses terus,positive
banget,positive
tempat paling komplit lah pokok buat habisin duit wkwkwk,positive
layan ramah tempat luas nyaman,positive
customer service nya baik banyak bantu,neutral
proses kredit cepat,positive
mantap banyak promonya sukses selalu,positive
toko hp lengkap harga nya oke banget perkara layan over al nice worth banget sabar sabar pindah data selsai,positive
pegawai cowok samsung ramah sini mending langsung samsung store kalau beli sesal beli not worth susah minta apa hahahah,negative
cari ponsel baru anak,negative
kalau itikad awal beli garansi jadi konsisten bukan waktu buat nota malah garansi masuk tagih padahal awal bilang waktu cetak jadi nota bilang sistem sangat kecewa,negative
layan baik ramah hrg standar toko jenis,negative
kali beli hp sini pelayananya oke banget sabar pokok hehehe kalau rekom buat cari hp kesini liat tanya dulu gp sapa tau langsung cocok,positive
varian hp lengkap spg nya ramah strategis lokasi kredit nya loh,neutral
staf nya ramah banget parkir sayang halo ramah cuma tanya barang cari bantu cari barang mirip sama mau stock hp baru lengkap,positive
lama nungunya,negative
tanya awal tg kredit saudara mau ambil hp mikir meme muka karyawanya langsung ubah jadi bikin enggak berani kesini,neutral
kali kesini memang pelayananya ramah sih rekomendasi selalu tempat luas bagai brand handphone tinggal pilih,negative
layan oke cepat ramah tempat bersih kamar mandi bersih,neutral
stok ngakunya enggak beli hp baru enggak dijelasin isi box apa enggak coba dulu apa enggak dodol goreng bos,negative
toko handphone centre letak jalan utama kota mudah jangkau masyarakat toko handphone centre layan karyawan toko handphone centre banyak pilih hp bagai merk toko handphone centre sepeda motor listrik ruang tungu konsumen,negative
selalu sip pelayananya mantap,positive
layan lama pegawai kurang handal proses jual jadi kemarin rekan beli hydrogel sekaligus laku pasang awal sambut spg pegawai tanya barang beli tanya harga barang sebut harga sampai spg pegawai beberapa kali ganti sini mulai aneh kait harga kok ubah proses bayar minta tungu rasa lama kurang lebih menit informasi spg pegawai kasir sama inisiatif tanya nyata sampai kendala sistem kondisi meja kasir banyak spg pegawai kumpul lihat se keliling satu hampir beri info kendala alami lanjut spg pegawai awal sambut beri barang beli mulai laku proses potong hydrogel pemasanganya aneh mes hydrogel proses laku spg pegawai sebut mengerjakanya satu satu laku potong bolak balik ambil satu satu hydrogel meja langsung ambil semua laku proses potong bolak balik meja jarak lumayan jauh kemudian proses pemasanganya luama lebih menit hp seperti spg pegawai sebut paham cara pemasanganya rasa terlalu lama akhir hampir spg sebut baru tema datang bantuin bantu tema kurang lebih menit selesai kerja hp hampir dapat nyata spg laku salah proses pasang hydrogel hp teman proses laku ulang awal proses selesai satu spg pegawai minta maaf atas jadi sebut hasil pasang dapat gelembung udara pojok hp mohon pihak tingkat service pelayananya terima kasih,positive
kesini beli lindung hp sambut sama promotor awal pegawai bingung harga bingung jenis apa awal oke suruh bayar kasir kasir sempat troble lama nyata sistem eror awal kalau memang eror info customernya lama tungu jelas akhir suruh tungu situ lihat pegawai kurang profesional beli lindung hp nyata proses satu satu lama suruh tungu hampir setngah jam hp selesai akhir samperin pegawai nyata hp ulang proses kesalahaan situ pegawai info kalau kendala menghandle orang tunguin depan pegawai baru teman nya bantu handle mungkin next nya pegawai lebih komunikatif saling bantu hasil akhir kurang rapi harga murah waktu lama benar kecewa moga lebih baik akhir pegawai ucap terima kasih permntaan maaf moga ulang customer lai,positive
luas penataanya layananya sambut mulai pintu luar terus arah tugas parkir ramah,positive
barang,neutral
hape anak opo layar pecah rusak beli sini masa garansi service sini uang service ganti layar rp ribu nyata layar bukan asli opo tampak servis sendiri toko layar sensitif ngelag gerak sendiri bawa service opo resmi baru tahu layar palsu ganti layar asli baru harga sama rp ribu sangat beda kualitas lebih baik enggak ngelag not recomended shop bad service and atitude,positive
pusat elektronik gadget kota,neutral
overal tempat layan cuman seragam dibenerin paha mbak nya lihat ngelayani orang duduk jejer paha lihat engak enak walaupun sama cewek asli mbak enggak nyaman kalau ketemu pelang genit kasihan pegawai ganti seragam jual hp bakal tetap laris walaupun paha nya tutup asal layan,positive
sesuai spesifikasi hp kecewa sales penting jual,positive
kesini belikan anak android murah samsung counter samsung jaga ditanyain enggak jawab telpon tanya pakai kartu kredit enggak masa iya beli hape bayar pakai cash diarahin kasir kasir mau ditanyain malah ngotot minjem ktp dulu padahal mau tanya tanya dulu bayar pakai kartu apa kasir omong pakai bentak bentak kayak orang enggak sekolah,negative
the service of the staf is al good however the security is very impolite and arogant this is the security please educate and teach him some maners,neutral
punya alam buruk tempat baru parkir mobil betul mobil parkir sedikit lewat garis kiri kana mobil satpam langsung bentak bentak marah marah jadi turun mobil langsung cari tempat jual hape manajemen baik customer masak baru datang enggak ramah sama,negative
tempat beli hp lengkap bagai merk opo realme xiomi dulu senang banget sama pelayananya ramah responsif solutif bantu hinga hp siap guna beri saran hp cocok sesuai butuh customer tempat luas barang lengkap parkir luas pembayaranya cashles,positive
datang langsung sambut sama spb nya cuma bikin kesel dijelasin panjang lebar soal hp mau beli deal harga segitu nyata harga awal beda mau bayar kasir beda ribu banyak lo komplain alasanya nyata promonya enggak laku entah cuma akal an salesnya tehnik marketingnya memang kalau tanya mau balik kesitu enggak kynya enggak deh,negative
beli tampered glas belakang hp samsung hasil sangat buruk benar benar buruk hari pakai banyak ngelotok tempered glas belakang dibenerin sama pegawai kualitas sangat jelek,positive
akses masuk area parkir terlalu tingi ramah city car,neutral
enak enggak pantau sales jadi bebas mau lihat pikir hehe ramah sering beli sini papa aku,positive
lokasi bersih luas layan baik hp jual lebih lengkap tempat,positive
beli hape olwais hp oficial makin oke servis kemarin banyak gift sama soft drink layan best staf kak firman product knowledge juara sabar telaten lincah erti butuh clientnya sukses selalu kak tuhan kati,positive
kalo tempat tempat aku pertama kali beli hp opo si nice kalo tempat dekat taman selamet ok mau tanya kalo mau lemari minum nya kok kunci enggak nya buka,neutral
banyak pilih kadang promo pakai kartu kredit tentu bunga cicil bunga layan ramah sambut mulai parkir garansi resmi,positive
mau beli iphone ketemu staf toko diberitahu harga juta gilir kasir harga naik jadi juta alas barang inden orang enggak profesional,positive
great store display and awesome people,positive
lumayan lengkap,neutral
tempat asri luas staf ramah perfekto,neutral
bersih nyaman pelayananya ramah cepat tangap,positive
mantap lengakp karywan ramah banyak discoundnya,positive
stok hp apa padahal lama model aku pesan keren pegawai ramah sat set cepat pelayananya murah senyum semua lengkap jual aksesorisnya jadi enggak perlu cari tempat terima kasih banyak,negative
tempat strategis koleksi cukup variasi layan ramah,negative
kesini mau beli ip pro max kata promo mandiri memang pihak bank cicil paling enggak masuk akal pihak toko charge tau sih max cuman jadi ip pro harga disuru bayar juta pakai sense,negative
layan super lama padahal sepi pasang screenguard enggak rapi sama jangan pasang screenguard sini,neutral
kali beli smartphone sini service nya tahan,positive
layan mantab ramah,neutral
layan nya sangat baik ramah banget,positive
tarik pelayananya cepat ramah,positive
tempat bersih rapi parkir enak,neutral
mantab layan kemarin beli hp layan jm lebih tutup,neutral
layan sangat ramah cepat harga saing koleksi hpnya lengkap tambah jual aksesoris hp,positive
mau beli hp dgm jamin kwalitas pernah ewa sini,negative
tempat nyaman spg nya ramah,neutral
nyaman,positive
sip,neutral
pelayananya ramah tamah,neutral
terima kasih jasa layan ramah tamah konsumen maju terus,positive
pelayananya terang fitur hp rinci moga sukses selalu,positive
layan ramah banyak pilhan produk pusing pilih harga baik luas nyaman banyak kursi duduk parkir mobil luas gratis,positive
langanan beli sini barang jamin orisinal tempat nyaman parkir luas banyak pegawai siap bantu,positive
layan sih kurang cepat ngelayaninya,negative
toko handphone printilan printilanya jl tak jauh mog toko bersih luas parkir luas sering promo sini,positive
toko gadget jadi tambah luas,positive
lokasi pusat kota sedia bagai smartphone semua brand depan live music,positive
mantap bersih nyaman,positive
toko sedia hp samsung vivo infinix lokasi belah mal olimpic garden sangat strategis parkir luas ruang dingin stok barang banyak pramuniaga kuasa barang jual layan cepat ramah,positive
beli hp tanggal mei masalah produk mohon evaluasi mbak mbak kasir sangat sopan tunjuk etika baik pelang maaf baru sempat review baru ingat,negative
harga saing sales nya ramah,positive
produk nya kualitas layan ramah trkhr pasang sd cepat beli baterai baterai charge nyata harga sesuai kualitas produk,positive
sip layan ramah ruang sangat nyaman,neutral
mbak ramah komunikatif sabar,positive
layan ramah stok barang lengkap,negative
sangat puas,positive
recomended,neutral
nyaman cepat pelayananya,positive
transaksi cepat enggak ribet lama kalau beli hp tinggal wa hp type apa ready bayar sama banking tinggal ambil deh toko simpel senang bantu sales baik sopan informatif tempat kalau tempat enak luas nyaman kalaupun ramai orang riuh ramai top deh satu suka sini bayar pakai kartu kredit program cicil,negative
tempat luas nyaman seler ramah,positive
alhamdulilah langanan tigaputra selalu puas sama produk layan nya moga makin kembang tingkat pelayananya kak terima kasih,positive
layan sangat segi tempat nyaman strategis kalo mau beli handphone as always kesini sih,negative
pelayananya sangat baik tempat bersih rapi,negative
suka banget cs nya ramah promotor jelasin nya detail free kopi jadi suka belanja,positive
banget suka sama pelayananya,positive
pelayananya sangat baik terima kasih kak,positive
sales nya ramah tempat nyaman layan muas jempol deh buat tambah sukses buat depa,positive
pelayananya kualitas produk baik pegawai ramah,positive
baik,neutral
be no perfecto,neutral
terpecaya,neutral
beli hp gajahmada seru banget hadiah loh rekom banget buat semua,positive
pelayananya ramah tempat nyaman,neutral
pelayanya ramah barang ready,positive
recomended beli hp sesuai budget segala jenis lengkap layan ramah cepat jelas mudah paham tempat bersih mewah nyaman,positive
pelayananya cepat tempat luas bersih barang jamin meski beberapa masalah kecil jadi banyak toko hp tempat jamin kualitas asli barang beli bagi besar cinta hp butuh,negative
layan ramah responsif sopan barang muas letak store mudah jangkau storenya tata display dasar brand jadi beli bingung mau cari brand tentu,negative
cepat ramah produk knowledge sedia barang asli barang,positive
pelayananya ramah cepat tempat nya cukup nyaman bersih kualitas brang jual semua nya mantap original,positive
langanan kalo beli smartphone sini layan baik harga sesuai banyak pilih service tawar,positive
terimkasih layan sales semua nya muas,neutral
tempat luas bersih nyaman pegawai nya ramah pol,positive
toko layan nyaman ramah,positive
tempat nyaman lega,neutral
layan muas tempat nyaman harga oke,positive
barang lengkap pelayananya ramah,neutral
cust servis keren super baik humble humoris anak nyaman enggak rewel padahal lamaa banget kan nunguin proses salin data lama,neutral
layan barang original,neutral
mau beli hp laah,neutral
layan sangat baik tempat nyaman bersih produk original,positive
layan cepat ramah mudah bantu pindah data tksh tigaputra,negative
cabang turen layan cepat muas sales nya sopan murah senyum moga sukses selalu,positive
layan sini sangat banget kakak nya ramah tempat sangat luas,positive
ramah banget,positive
tempat nya nyaman pelayananya mbak nya ramah kali beli hp sini,neutral
layan nya,neutral
toko nyaman,positive
recomend mau beli hp sini pandu producknowlednya pegawaianya sangat ramah sabar tempat nyaman,positive
lama transaksi tiga sangat puas pelayananya keramatamahanya cepat layan moga selalu komitmen layan,positive
sini tempat belanja hp aksesoris nya jamin kualitas tempat nyaman layan beri banget,neutral
layan nya banget hp nya,positive
muas belanja sini,positive
pertama kali kesini bener pelayananya baik banget salesnya ramah sabar layan customer,positive
harga lumayan miring layan ramah respon cepat,positive
buat orang enggak tau mau beli hp spek aman kantong sih sini kasi tau lebih kurang dibantuin pindah data dulu kasi minum wkwk tempat nyaman poo,negative
mau cari gadget kualitas yuk bang parkir luas banget tempat bersih layan super ramah jamin puas pelayananya harga saing tipis bro kalo soal paham salesnya adu cari aksesoris eits proses tetap jaga lho ajar balik daring kalo gadgetnya kurang bisa ketingalan terus kan,positive
tempat nyaman suguh minum mantab,neutral
layan muas kurang cuma tempat panas tempat parkir terlalu tingi sehinga mobil mentok,negative
tempat nya bersih rapi luas nyaman lengkap sofa empuk layan bintang sangat ramah gesit detail jelas produk terima kasih,positive
layan hangat ramah sabar tempat bersih nyaman harga standar,positive
tempat luas cozy pelayananan ramah banget teliti nerangin satu kegunaanya cust,positive
recomend good service,positive
senang promotor ramah,neutral
tempat lokasi strategis layan ramah cepat lengkap pilih jenis merek hp,negative
tempat nyaman layan ramah tempat parkir luas jaga ramah responya layan kasir baru kali belanja sini,positive
baik lah,neutral
pelayananya optimal mbak sabar lengkap jelas hp tanya tumpat nyaman,positive
pelayananya ramah paling penting semua data pindah utama data chat wa,negative
layan sangat ramah barang cukup lengkap segala merk,negative
wo,neutral
rekomendasi semua cari handphone sesuai budget spek sesuai ingin sini pelayananya cepat ramah fasilitas dalam keren habis sukses terus,positive
tempat nyaman pegawai ramah,positive
layan senang tempat kuas nyaman sales tahu luas bahkan security layan hujan simpan jaket hujan,neutral
layan hrg saing,neutral
recomended tempat nyaman layan salesx muas beri rekomendasi ponsel sesuai budget butuh,positive
parkir luas layan cepat banget gercep pelayananya kalau bilang ramah enggak kalau bilang jutek enggak tempat luas banget banyak pilih hp aksesorisnya terima kasih,positive
layan ramah informatif telaten tempat nyaman harga sesuai pasar cuma perlu atap parkir motor sehinga nyaman musim hujan perlu sedia tempat duduk buka smoking area buat bapak okok tungu pindah data,positive
layan lengkap handphone sini semangat,neutral
senang banget beli hp tiga layan sangat muas tempat strategis nyaman banget ayo mau beli hp jangan ragu langsung capcus tiga enggak sesal baik,positive
alhamdulilah selalu puas tiap belanja barang original harga murah,positive
buat layan nya terimakasih toko,positive
harga miring banding toko item banyak salesnya ramah asih masuk hp butuhin toko gede bersih,negative
layan cepat ribet puas deh belanja sini,neutral
pilihanya banyak staf nya ramah,neutral
layan sangat muas,positive
tempat strategis nyaman layan customer sangat ramah,neutral
tempat enak parkir gratis layan nya ramah harga jangkau pas cash back semog dperahankan layan customer,positive
layan piat,neutral
layan nya sangat ramah kak tempat nyaman besar,neutral
layan sangat ramah tempat nyaman kualitas produk sangat rakyat,positive
tempat enak luas produk lengkap mudah jangkau grapari layan mantaps,positive
layan ramah,neutral
puuas banget deh belanja banyak pilih tipe merk tempat luas layan nya ramah,neutral
lokasi pusat kota dekat parkir luas layan ramah kerumun sales sales tempat biasa hp cari ready stock barang indent seminguan overal muas beli gadget sini aman undi hadiah moga,positive
pelayanany sangat muas,positive
layan senang mbak sales nya sabar tanya macam moga lebih baik lebih murah,positive
pelayananya banget moga tambah sukses,positive
layan ramah harga rakyat sukses selalu is number on of gadget store,positive
layan banget ciwinyi cakep banget tempat bersih banget rapi banget sejuk dingin kayak kulkas pintu pegawai ramah cakep cepat nice lah goodluck,positive
layan ramah tempat nya nyaman,neutral
layan baik ramah tempat nyaman jadi betah mau balik keep the good work,neutral
kali beli tiga smuanya muas segi layan produk harga,positive
biasa,neutral
tempat beli hp recomended harga oke sales ramah proses enggak ribet,positive
banget pelayananya ramah,positive
tempat belanja hp asesoris paling nyaman kota,negative
layan sangat baik ramah tempat oke sangat recomended,neutral
baik tempat tampil pegawai segi layan meski beberapa tingkat,negative
sangat bantu khusus after sales pindah data hp lama,negative
beli sini muas customer service nya arah ingin consumen garansi langsung makernya good,positive
layan muas tempat representatif moga depan tetap tahan bahkan lebih baik,positive
sukses terus balik beli hp,neutral
recomended banget,positive
jos,neutral
toko hp cukup lengkap pelayananya ramah kredit,negative
harga koleksi varian hp nya sama counter resmi sayang promonya enggak sama cuma kelebihanya sini macam one stop center segala macam merk hp parkir gratis mantap,positive
layan sangat karyawanya ramah kualitas hpnya enggak perlu ragu pokok the best lah,positive
belanja lebih jangkau layan customer service sangat bantu barang barang baru sedia paling penting harga lebih murah toko toko,positive
tempat nyaman layan ramah,neutral
terima kasih atas layan respon baik barang,positive
tempat nyaman bersih pegawai ramah baik customer variant warna type handphone lengkap sukses terus,positive
humble service good explanation and spacy parking,positive
cuman bilang istimewa,neutral
layan banget ramah murah senyum,positive
layan muas mulai datang pulang staf ramah harga murah cuma diadain program cicil bayar pakai sih soal srg ngutang hahaa,neutral
tmp nya nyaman luas hp jual lengkap layan cepat nungu teh hangat rekomended banget langanan beli hp nya sl sini baik deh kota tetap tahan dibanyakin promo nya kak,positive
layan mantap muas,positive
senang belanja sambut layan ramah komunikatif recomended banget cari gadget sukses selalu,positive
tempat luas parkir mobil cukup nyaman layan ramah sabar pilih hp samsung opo vivo dulu pernah beli hp mingu tempat terima kasih atas pelayananya,positive
muas harga lebih murah banding berapa counter hp resmi layan baik ramah bantu pindah data kontak foto video aplikasi hp lama hp baru kalo kerja sendiri butuh waktu hari minguan cuma jam data pindah sangat besar gb,negative
servicee nya mantap baik banget kakak proses mudah cepat,positive
layan sangat muas ramah barang semua oke oke,positive
ngiler hape anyar hape dewe wes dekade,neutral
pelayananya ramah banget jelas produk detail keren banget harga saing toko jamin lebih murah sukses selalu,positive
layan ramah ruang tungu nyaman area parkir luas free parkir,positive
pelayananya ramah tempat nyaman parkir mudah luas,positive
layan sangat puas ramah sopan meski banyak tanya mas nya sangat respon hehe moga tambah sukses,positive
barang nya sangat murah layan sangat buat pelang,positive
layan ramah banget barang nya,positive
layan ramah santun tempat bersih harga jangkau barang enggak masalah,negative
terima kasih baik pelayananya moga lebih tingkat moga rejekinya lancar semua amin,positive
layan muas harga barang original puas belanja sni,positive
layan ramah tempat nyaman panas enggak ac,neutral
layan sangat ramah orang sana suka becanda tempat enak santai pilih barang macam tipe per merk hp jadi menang pilih mau beli hp recomended banget,negative
alam pribadi datang sambut ramah tanya perlu sini cum terima orang beli hape ekosistem kalo mau lahir belah cek hape ingin terus pilih metode bayar kau mau apa kredit lengkap mau pilih apa semua pakai tunai super enggak biaya parkir sono prat prit sukses selalu,negative
area parkir luas tempat luas staf nya ramah,positive
pelayananya ramah tempat luas strategis parkir luas danhp apa sana,positive
jauh jadi tempat favorit butuh gadget baru layan akses mudah tempat parkir aman nyaman,negative
tempat layan,negative
tempat beli hp tablet nyaman salesnya ramah kuasa produk baik,positive
baru pertama kali beli produk toko pelayananya baik ramah tempat nyaman seluruh muas,positive
pelayananya cukup fasilitas pada,negative
terimakasih pelayananya beli hp antar rumah heheeh,positive
layan ramah tempat nya luas cukup lengkap,negative
lokasi strategis tempat nyaman barang jual cukup lengkap layan cukup prima,neutral
tempat bersih luas banyak kursi buat duduk jadi nemenin enggak capek layan sangat ramah kece barang detail,positive
tahan terus keramahanya,neutral
layan ramah barang ready stok harga sahabat banyak disko sukses selalu,positive
mantap pol sukses terus,positive
beli hp jamin enggak sesal pelayananx sangat baik salesx ramah terimakasih,neutral
pelayananya ramah tempat bersih nyaman muas beli sini,positive
tempat bersihdan nyaman customer servis sangat bantu ramah,positive
pelayananya baik macam pilih tempat nyaman maju sukses deh buat,positive
murah berkwalitas sales ramah,neutral
layan ramah sales enggak paksa beli banget bayar combine cash debut thanks,positive
layan salesnya alam,neutral
mimi baik banget harga lebih miring toko belah produk,positive
nice nyaman,positive
layan super ramah cepat jelas baik bayar mudah harga jangkau,positive
langanan beli hp sini,neutral
layan karyawanya ramah ramah,neutral
belanja seruh lengkap oranya rmah,neutral
percaya jamin original,neutral
alhamdulilah pelayananya muas ramah,positive
tempat pelayananya sangat baik,negative
dekat rumah harga murah selisih sama belah produk enggak pernah cacat istimewa deh,positive
tempat luas layan ramah beli hp mantap dulu hp apa beli rena tawarin hp cari biasa,negative
service ramah layan cepat,neutral
berlangana beli credit hp sini,neutral
pelayananya ramah enak ajak konsultasi,positive
banyak pilih playanan ramah ramah,negative
tempat gede enggak semua pegawai ramah khusus cewek,negative
layan papan atas,negative
staf sih sahabat security tukang parkir nya punya atitude isue nya bilang enggak sopan kalau mau drop of jangan lama hem kaya menit enggak kalau mobil enggak ditenangin kayak nya bakal damprat satpam mau beli hp hati kesel,negative
keren lengkap sdm nya pintar kena gadget,negative
layan muas tempat nyaman parkir luas banyak tipe merk,positive
layan cepat efisien tempat luas nyaman,positive
strategis,neutral
layan muas tingkat,positive
salesnya ramah komunikatif bagai merk coba xiaomi aple samsung huawei opo realme duh banyak kayak toilet parkir luas ruanganya nyaman wifinya kencang tempat duduk sedia banyak empuk nyaman,positive
suka beli hp sini pelayananya baik tempatx luas,positive
segala handphone bagai merk layan,neutral
sip,neutral
sangat recomended,neutral
kondisi pegawai mau beli poco malah rayu terus ambil reno kasih informasi salah kasih info jelek poco mungkin bonus kalo jual reno hehe,negative
tempat belanja hp terlengkao termuraj karyawan ramah sangat bantu temu hp idam,positive
tempat bersih pelayanananya sangat baik,negative
enggak pernah beli sini moga beli hp baru,positive
layan ramah harga jangkau barang lumayan lengkap,positive
mau tanya redmi note berapa harga,positive
layan nya sangat muas kakak ramah,positive
baik,neutral
layan ramah banyak pilih recomen mantap,neutral
puas layan tempat ruang tungu nyaman,neutral
tempat cari hape paling variatif pelayananya mbak mas nya ramah beri info detail hape beli beli tanya kendala pokok nya mantaabs,negative
kalau beli smartphone sini,neutral
layan ramah sales cepat tangap tempat nyaman toko gadget percaya,positive
tempat nyaman harga jangkau banyak pilih gadget percaya pegawai ramah pelayananya muas terimakasih,positive
parkir luas layan nya ramah,positive
moga tetap amanah tambah jaya selalu makin maju depa,positive
layan nya oke,positive
lengkap murah,neutral
beli hp selalu sini,neutral
sangat rekomen beli smartphone,positive
pelayananya ramah harga jangkau oke pokok,positive
layan sangat ramah,neutral
one of the best gadget store town,neutral
tempat luas layan,neutral
nyaman banyak penyunjung layan ramah,positive
layan ramah tempat ruang tungu teras lebih tingkat,neutral
afordable price with excelent service,neutral
toko hp enggak kalah sama market place tukar tambah layan,positive
kredit syarat apa kak,negative
layan ramah lengkap hadiah tarik kalau promo tarik,positive
pelayananya beli iphone xr,neutral
toko hp relatif lengkap harga relatif murah layan baik ramah moga tambah sukses kembang,positive
layan sales nya ramah bukti toko hape murah lengkap,negative
pelayananya okey,neutral
enak belanja sini layan ramah tempat nyaman,neutral
alhamdulilah pelayananya sangat ramah maaf enggak kata kata inti,negative
tempat oke layan,neutral
good service and can be trusted,positive
mantap,positive
beberapa hari lalu beli handphone sini pelayananya awal masuk store layan ramah sini karyawanya informatif mulai harga spek kasih tau friendly harga produk sini lumayan murah ketimbang stores waktu stok warna handphone aku pengin enggak store karyawanya sedia ngambil stok store lainthank you,positive
ramah layan,neutral
mbak les ramah terang semua spesifik hape opo sangat jelas tempat nyaman terap standar protokol sehat covid harga hapenya bilang lebih murah banding hwaiting kamsahamnida,neutral
friendly staf and very helpful thanks for your services,positive
very pleasant very helpful staf and sok friendly,neutral
layan barang harga,positive
lokasi nyaman pelayananya ramah informasi ikan kait lebih kurang gadget detail tempat parkir luas banyak pilih merk gadget murah mahal harga gadget relatif murah banding toko jamin,positive
karyawan store samsungnya ramah thanks mbak lia rekan nyaman tempat,positive
layan sangat baik tempat bersih tata rapi,negative
pelayananya banget suka deh belanja,positive
layan ramah harga lumayan miring mas jelas spesifikasi cukup detail jelas,positive
pelayananya ramah patut acung layan bintang,neutral
layan nya ramah orang nya sopan puas banget layan nya,positive
harga lumayan miring layan ramah ecek an barang detail pegawai cekat lengkap pilih hpnya sama banyak tester hp tentu jadi customer beda qualitasnya cuma realme kemarin enggak kak jadi enggak lihat kamera inti semua perfect sama pelayananya,neutral
pelayananya cukup baik muas moga makin banyak disko,positive
layan ramah enggak pelit info stock cepat tangap,negative
layan nya ramah muas enak ajak konsultasi sabar asih saran nya seluruh keluarga percaya beli,positive
lama beli sini sangat muas,neutral
pelayananya harga lebih murah,positive
layan ramah tempat bersih strategis,negative
pelayananya sangat muas,positive
seler ramah tempat nyaman,neutral
dulu pelayananya always top ramah eh min banyak dong asesoris hp nya,positive
puas blnj moga depa smkn sukses pelayananya ramah tempat nyaman,positive
tempat nyaman layan cepat ramah servis sales banget,positive
layan muas harga berani saing kualitas tetap jaga terima kasih,positive
tempat nyaman desa sehinga lebih leluasa jaga jarak parkir sangat luas layan pegawai sangat baik produk lengkap,positive
layan,neutral
